1778160932005,37,A,4,4,1778160932005,0,
1778160932005,35,Q,5,5,1778160932005,0,
1778160932005,36,Q,2,1,1778160932005,0,
1778160932005,37,A,2,2,1778160932005,0,
1778160932005,35,Q,4,4,1778160932005,0,
1778160932005,37,Q,5,2,1778160932005,0,
1778160932005,36,Q,3,5,1778160932005,0,
1778160932005,35,Q,5,4,1778160932005,0,
1778160932005,37,Q,5,4,1778160932005,0,
1778160932006,35,Q,4,2,1778160932006,0,
1778160932006,37,A,4,5,1778160932006,0,
1778160932006,36,Q,3,1,1778160932006,0,
1778160932006,37,Q,3,4,1778160932006,0,
1778160932006,35,Q,1,3,1778160932006,0,
1778160932006,36,Q,3,5,1778160932006,0,
1778160932006,37,A,5,3,1778160932006,0,
1778160932006,36,Q,5,5,1778160932006,0,
1778160932006,35,Q,2,2,1778160932006,0,
1778160932006,37,Q,1,4,1778160932006,0,
1778160932006,35,Q,3,2,1778160932006,0,
1778160932006,36,Q,3,2,1778160932006,0,
1778160932006,35,Q,5,5,1778160932006,0,
1778160932006,37,Q,1,4,1778160932006,0,
1778160932006,36,A,3,4,1778160932006,0,
1778160932006,37,D,5,2,1778160932006,0,
1778160932006,35,Q,1,3,1778160932006,0,
1778160932007,37,Q,4,2,1778160932006,1,
1778160932006,36,Q,1,4,1778160932006,0,
1778160932007,35,Q,4,5,1778160932007,0,
1778160932007,37,Q,2,3,1778160932007,0,
1778160932007,35,Q,2,2,1778160932007,0,
1778160932007,36,Q,1,5,1778160932007,0,
1778160932007,37,Q,1,5,1778160932007,0,
1778160932007,35,Q,5,3,1778160932007,0,
1778160932007,36,A,2,1,1778160932007,0,
1778160932007,35,Q,5,5,1778160932007,0,
1778160932007,37,Q,5,2,1778160932007,0,
1778160932007,35,Q,3,4,1778160932007,0,
1778160932007,36,Q,4,4,1778160932007,0,
1778160932007,37,Q,5,2,1778160932007,0,
1778160932007,35,Q,3,1,1778160932007,0,
1778160932007,36,Q,1,1,1778160932007,0,
1778160932007,37,Q,4,1,1778160932007,0,
1778160932007,36,A,2,2,1778160932007,0,
1778160932007,35,Q,4,2,1778160932007,0,
1778160932007,36,D,3,1,1778160932007,0,
1778160932007,37,Q,4,5,1778160932007,0,
1778160932007,35,A,3,5,1778160932007,0,
1778160932008,36,Q,4,4,1778160932008,0,
1778160932008,35,Q,5,5,1778160932008,0,
1778160932008,37,Q,4,1,1778160932008,0,
1778160932008,35,D,4,2,1778160932008,0,
1778160932008,36,Q,3,5,1778160932008,0,
1778160932008,35,Q,4,1,1778160932008,0,
1778160932008,37,Q,3,5,1778160932008,0,
1778160932008,35,D,4,2,1778160932008,0,
1778160932008,37,Q,3,3,1778160932008,0,
1778160932008,36,Q,5,1,1778160932008,0,
1778160932008,35,Q,2,4,1778160932008,0,
1778160932008,37,Q,4,1,1778160932008,0,
1778160932008,36,Q,1,2,1778160932008,0,
1778160932008,37,A,2,4,1778160932008,0,
1778160932008,35,Q,3,3,1778160932008,0,
1778160932008,37,Q,3,5,1778160932008,0,
1778160932009,36,A,2,2,1778160932008,0,
1778160932009,35,Q,2,5,1778160932008,1,
1778160932009,36,Q,1,5,1778160932009,0,
1778160932009,37,Q,4,5,1778160932009,0,
1778160932009,36,Q,4,4,1778160932009,0,
1778160932009,35,Q,2,1,1778160932009,0,
1778160932009,36,D,5,1,1778160932009,0,
1778160932009,37,D,4,3,1778160932009,0,
1778160932009,36,A,5,4,1778160932009,0,
1778160932009,37,D,3,4,1778160932009,0,
1778160932009,35,Q,1,2,1778160932009,0,
1778160932009,37,Q,4,4,1778160932009,0,
1778160932009,35,A,1,5,1778160932009,0,
1778160932009,37,Q,2,5,1778160932009,0,
1778160932009,36,D,5,4,1778160932009,0,
1778160932009,35,Q,1,4,1778160932009,0,
1778160932009,36,A,2,3,1778160932009,0,
1778160932009,37,Q,1,5,1778160932009,0,
1778160932009,35,Q,3,3,1778160932009,0,
1778160932010,37,D,3,3,1778160932010,0,
1778160932009,36,Q,1,3,1778160932009,0,
1778160932010,37,A,2,3,1778160932010,0,
1778160932010,35,Q,3,2,1778160932010,0,
1778160932010,37,Q,2,3,1778160932010,0,
1778160932010,36,Q,2,4,1778160932010,0,
1778160932010,35,Q,5,2,1778160932010,0,
1778160932010,36,Q,5,5,1778160932010,0,
1778160932010,37,Q,1,2,1778160932010,0,
1778160932010,35,Q,4,5,1778160932010,0,
1778160932010,36,Q,2,2,1778160932010,0,
1778160932010,35,Q,4,1,1778160932010,0,
1778160932010,36,A,3,4,1778160932010,0,
1778160932010,35,Q,2,1,1778160932010,0,
1778160932010,36,A,1,4,1778160932010,0,
